=== 執行記錄開始: 2026-06-09T13:28:16.323548 ===
模式: DRY-RUN（乾跑）
runtime: k8s
目標: nextcloud/nextcloud-5659bc4574-fdwnl
使用者來源: occ user:list（未設定 ENV_NEXTCLOUD_*，改用容器內 occ）
透過 occ 取得 502 位使用者
排除 1 位: ['admin']
目標帳號數: 501
清檔模式: skeleton
quota: 0 B
其他設定: {'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
============================================================
複製腳本與設定到遠端...
已設定遠端檔案權限（owner=www-data）: /tmp/batch_provision.php, /tmp/batch_config.json
執行 batch_provision.php...
✓ 3AECD169-7DE3-4A59-B2F4-BDDFAA127ACF | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ E11564A2-72BA-4D91-86D5-3D701D760D12 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ C1F536CF-33A1-4AA2-AA7C-3E9A90D34B75 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 42C37972-340B-45CA-AE99-749EB8C39D31 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 7AFD126F-3E25-41ED-BE88-72B639C4BEA1 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 80AB7F65-7F22-4C5A-8CFD-1D32B32512D2 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ E23C7EA8-AE49-4777-8DD1-719833B4E1AB | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 4E22966F-DF72-4AD8-A20A-95DC0556897D | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ C42F43BE-32BD-4746-871E-B2FE865E6E45 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 32555779-02B1-460E-9677-C272F6B1D715 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
